,influence_index,rating
laiwinki,418.965563175191,A
honganc,407.9256465740482,A
jimyan,401.6593374177372,A
wingyi127,400.75611050892024,A
joeythyee,395.1206762190988,A
bennieandmaple,375.51084518473243,A
wongyuenb,374.8909440010354,A
captv.hk,372.14493189650574,A
elannek930,369.056701575284,A
shamshirley,368.9902556495681,A
meethkcom,367.8937792562317,A
vivianchowwaiman,365.23573474621065,A
matthew_hkp,362.2744218471519,A
beginneros,351.84730844901173,A
pamelacheung,349.38785426707256,A
nikehkg,325.4778726633795,A
elenakongmayyee,321.2013325711229,A
bella_lam,320.24787031847194,A
mayaoo,318.2111921336413,A
zaina_sze,315.49296812282864,A
snappy_hk,314.1073252762483,A
joshua1013,309.201469484578,B
jenniferyuuu,303.8046346329648,B
kimi_chiuchiu,300.00947103376666,B
neoyau19,299.93185345521545,B
cotton_ckc,299.1277757126388,B
marialuisaleitao,295.9126081314777,B
gwendolyn.spot,292.98294910931725,B
needatajkhan,291.1386987721263,B
ipsvipclub,290.76115886536314,B
maanavihomes,290.22586929643103,B
jawnha,289.2213203064033,B
mandieskwok,280.89785074117185,B
saxyphil,274.5463904099572,B
carlosbb,272.2285891716837,B
leoku,258.1471335622511,B
mechann_,258.1107823463716,B
charmainefong,257.49088116266586,B
cusonlo,255.67649780859406,B
sammicheung926,255.6487196337713,B
chiangel1110,253.47999107215708,B
kb_kevinboy,253.44959444778894,B
yacouoff,251.89325331131073,B
bpressk,247.02992113484729,B
jacechw,246.53412095369987,B
iloveqq,241.2129088979117,B
ninabb66,240.7576474681329,B
be_hk,236.99476141268133,B
sandrangky,235.6649026424594,B
dearjaneofficial,232.428846978232,B
moonieckm,226.37898200564035,B
emilylam.ho,226.30783874094632,B
agaseen,219.28643985224232,B
aitorgalcera,215.52063343270672,B
wungani,212.71048201859665,B
kevinsamuelmpg,211.15184418486507,B
kwongchunyu,207.99851921604517,B
kitling_,207.9580943280228,B
krysellawong,202.7062485620377,B
naminamiting,202.32097708887625,B
charlie1129999,201.79321119740771,B
meendeenjinggung,197.2272967629586,B
playstationhk,193.84467300827245,B
foodartproject,193.23207769419304,B
reererre,191.86816440534787,B
scarlett328,191.86816440534787,B
fionavibes,189.65629848057412,B
mikiyeung,188.2529997484146,B
yylamjayden,187.2506435111578,B
she.c0m,187.0526768498952,B
rosamundkwan,185.49643965788286,B
karl_ting,185.18975197129802,B
amber.tcy,184.99071515754994,B
dino_hira,184.85992203330397,B
ryanlau88,182.22110249482185,B
candy_kamanyuen,180.49458279077984,B
hktvbfan,179.89321360187816,B
hungrytv.hk,179.83320735545743,B
kakikakileung,179.41617806092233,B
f.o.v_,171.13791784581915,B
afterschool_hk,170.9783140044999,B
jan.tse,169.47170039216766,B
iam.manson,166.371762825531,B
timeouthk,164.6660312276507,B
kkc_ky,164.12771536639343,B
aloha6969,162.5549726211955,B
chungshersher,160.10824434048334,B
renciysw,160.09802401734302,B
bmb_bakery,159.34481917186966,B
ally_manyan,156.16988049245535,B
ahfavslife,155.05647384107007,B
vincychan,154.84545163194244,B
ly_joxx,153.40326738182688,B
sosouwithlove,149.9513520822476,B
tinming7471,148.2818217348678,B
leungpakkin,148.2304231640698,B
lightisthenight,147.5954350314326,B
