,ig_id,is_HK,updated_following_list_time,details_updated_time,following_list
154,chantalebelle,Hong Kong,2020-01-01,2022-04-16,yet
155,tinaaaminat,Hong Kong,2020-01-01,2022-04-16,yet
156,laiwinki,Hong Kong,2020-01-01,2022-04-16,yet
157,vivivvtam,Hong Kong,2020-01-01,2022-04-16,yet
158,matthew_hkp,Hong Kong,2020-01-01,2022-04-16,yet
159,aikonari.art,Hong Kong,2020-01-01,2022-04-16,yet
160,yawen_j,Hong Kong,2020-01-01,2022-04-16,yet
161,hailey_jane,Hong Kong,2020-01-01,2022-04-16,yet
162,ohmamama,Hong Kong,2020-01-01,2022-04-16,yet
163,lam1hey,Hong Kong,2020-01-01,2022-04-16,yet
164,on99magic,Hong Kong,2020-01-01,2022-04-16,yet
165,jeffreyfok_224,Hong Kong,2020-01-01,2022-04-16,yet
166,jimyan,Hong Kong,2020-01-01,2022-04-16,yet
167,elannek930,Hong Kong,2020-01-01,2022-04-16,yet
168,joeythyee,Hong Kong,2020-01-01,2022-04-16,yet
169,shamshirley,Hong Kong,2020-01-01,2022-04-16,yet
170,hkudryclub,Hong Kong,2020-01-01,2022-04-16,yet
171,ngkelly_,Hong Kong,2020-01-01,2022-04-16,yet
172,captv.hk,Hong Kong,2020-01-01,2022-04-16,yet
173,newsdailyhk,Hong Kong,2020-01-01,2022-04-16,yet
174,pamelacheung,Hong Kong,2020-01-01,2022-04-16,yet
175,iancychan,Hong Kong,2020-01-01,2022-04-16,yet
176,moviematic,Hong Kong,2020-01-01,2022-04-16,yet
177,michele_monique_reis,Hong Kong,2020-01-01,2022-04-16,yet
178,hilaryxtsui,Hong Kong,2020-01-01,2022-04-16,yet
179,90couple_lifestyle,Hong Kong,2020-01-01,2022-04-16,yet
180,jessicahsuan_official,Hong Kong,2020-01-01,2022-04-16,yet
181,straightblast5,Hong Kong,2020-01-01,2022-04-16,yet
182,crayon_shinchan1314,Hong Kong,2020-01-01,2022-04-16,yet
183,wongyuenb,Hong Kong,2020-01-01,2022-04-16,yet
184,aka_chio,Hong Kong,2020-01-01,2022-04-16,yet
185,kasin520,Hong Kong,2020-01-01,2022-04-16,yet
186,zaina_sze,Hong Kong,2020-01-01,2022-04-16,yet
187,pazzo,Hong Kong,2020-01-01,2022-04-16,yet
188,hana_kuk,Hong Kong,2020-01-01,2022-04-16,yet
189,laiyingdesu,Hong Kong,2020-01-01,2022-04-16,yet
190,no7,Hong Kong,2020-01-01,2022-04-16,yet
191,kalok_,Hong Kong,2020-01-01,2022-04-16,yet
192,charlottecheung107,Hong Kong,2020-01-01,2022-04-16,yet
193,hakkaphil,Hong Kong,2020-01-01,2022-04-16,yet
194,hkdisneyland,Hong Kong,2020-01-01,2022-04-16,yet
195,joshua1013,Hong Kong,2020-01-01,2022-04-16,yet
196,sadelle,Hong Kong,2020-01-01,2022-04-16,yet
197,cbbheree,Hong Kong,2020-01-01,2022-04-16,yet
198,bob_lamshingbun,Hong Kong,2020-01-01,2022-04-16,yet
199,annabellellll,Hong Kong,2020-01-01,2022-04-16,yet
200,matyeung,Hong Kong,2020-01-01,2022-04-16,yet
201,mengerzhang,Hong Kong,2020-01-01,2022-04-16,yet
202,tv5manila,Hong Kong,2020-01-01,2022-04-16,yet
203,rahrahsong,Hong Kong,2020-01-01,2022-04-16,yet
204,elenakongmayyee,Hong Kong,2020-01-01,2022-04-16,yet
205,pangliu,Hong Kong,2020-01-01,2022-04-16,yet
206,mayannem,Hong Kong,2020-01-01,2022-04-16,yet
207,kan_jessica,Hong Kong,2020-01-01,2022-04-16,yet
208,snappy_hk,Hong Kong,2020-01-01,2022-04-16,yet
209,serco.storee,Hong Kong,2020-01-01,2022-04-16,yet
210,agneswym,Hong Kong,2020-01-01,2022-04-16,yet
211,misshunnyig,Hong Kong,2020-01-01,2022-04-16,yet
212,vivianchowwaiman,Hong Kong,2020-01-01,2022-04-16,yet
213,reneebobo,Hong Kong,2020-01-01,2022-04-16,yet
214,meethkcom,Hong Kong,2020-01-01,2022-04-16,yet
215,zoeso0930,Hong Kong,2020-01-01,2022-04-16,yet
216,roserosemama,Hong Kong,2020-01-01,2022-04-16,yet
217,beginneros,Hong Kong,2020-01-01,2022-04-16,yet
218,marialuisaleitao,Hong Kong,2020-01-01,2022-04-16,yet
219,kittyyuen,Hong Kong,2020-01-01,2022-04-16,yet
220,boris1027_,Hong Kong,2020-01-01,2022-04-16,yet
221,wong_kar_wai,Hong Kong,2020-01-01,2022-04-16,yet
222,bella_lam,Hong Kong,2020-01-01,2022-04-16,yet
223,jesscambensy,Hong Kong,2020-01-01,2022-04-16,yet
224,jwchubz,Hong Kong,2020-01-01,2022-04-16,yet
225,josjaneofficial,Hong Kong,2020-01-01,2022-04-16,yet
226,mayaoo,Hong Kong,2020-01-01,2022-04-16,yet
227,chanjason_,Hong Kong,2020-01-01,2022-04-16,yet
228,bobsyouruncle1981,Hong Kong,2020-01-01,2022-04-16,yet
229,hongkong.insta,Hong Kong,2020-01-01,2022-04-16,yet
230,kayeepo,Hong Kong,2020-01-01,2022-04-16,yet
231,kyliejennersoutfit,Hong Kong,2020-01-01,2022-04-16,yet
232,_alyciac,Hong Kong,2020-01-01,2022-04-16,yet
233,life_trivia_hk,Hong Kong,2020-01-01,2022-04-16,yet
234,herachann,Hong Kong,2020-01-01,2022-04-16,yet
235,samstailor,Hong Kong,2020-01-01,2022-04-16,yet
236,wengchan53,Hong Kong,2020-01-01,2022-04-16,yet
237,lawjoey,Hong Kong,2020-01-01,2022-04-16,yet
238,wingt,Hong Kong,2020-01-01,2022-04-16,yet
239,elly,Hong Kong,2020-01-01,2022-04-16,yet
240,nikehkg,Hong Kong,2020-01-01,2022-04-16,yet
241,hillarylau,Hong Kong,2020-01-01,2022-04-16,yet
242,kimi_chiuchiu,Hong Kong,2020-01-01,2022-04-16,yet
243,kawaiiifong,Hong Kong,2020-01-01,2022-04-16,yet
244,sixtycents,Hong Kong,2020-01-01,2022-04-16,yet
245,lilybethxchen,Hong Kong,2020-01-01,2022-04-16,yet
246,reginahyt,Hong Kong,2020-01-01,2022-04-16,yet
247,tiger_yny,Hong Kong,2020-01-01,2022-04-16,yet
248,jacquelinchng,Hong Kong,2020-01-01,2022-04-16,yet
249,sophibae,Hong Kong,2020-01-01,2022-04-16,yet
250,mmm1122,Hong Kong,2020-01-01,2022-04-16,yet
251,xeniachong,Hong Kong,2020-01-01,2022-04-16,yet
252,6ixty8ight68,Hong Kong,2020-01-01,2022-04-16,yet
253,carlosbb,Hong Kong,2020-01-01,2022-04-16,yet
254,mandieskwok,Hong Kong,2020-01-01,2022-04-16,yet
255,seoulo.diary,Hong Kong,2020-01-01,2022-04-16,yet
256,6sussim,Hong Kong,2020-01-01,2022-04-16,yet
257,charger_store,Hong Kong,2020-01-01,2022-04-16,yet
258,lulutung,Hong Kong,2020-01-01,2022-04-16,yet
259,benwong1020,Hong Kong,2020-01-01,2022-04-16,yet
260,karena_ngs,Hong Kong,2020-01-01,2022-04-16,yet
261,eunicechanszeyan,Hong Kong,2020-01-01,2022-04-16,yet
262,kellychenwailam,Hong Kong,2020-01-01,2022-04-16,yet
263,jenniferyuuu,Hong Kong,2020-01-01,2022-04-16,yet
264,oops_coconut,Hong Kong,2020-01-01,2022-04-16,yet
265,tsangloktung,Hong Kong,2020-01-01,2022-04-16,yet
266,mr_chow_chow,Hong Kong,2020-01-01,2022-04-16,yet
267,checkcheckcin,Hong Kong,2020-01-01,2022-04-16,yet
268,eat_travel_weekly,Hong Kong,2020-01-01,2022-04-16,yet
269,ashaetc,Hong Kong,2020-01-01,2022-04-16,yet
270,deerchann,Hong Kong,2020-01-01,2022-04-16,yet
271,samishome,Hong Kong,2020-01-01,2022-04-16,yet
272,angus_cwk,Hong Kong,2020-01-01,2022-04-16,yet
273,cotton_ckc,Hong Kong,2020-01-01,2022-04-16,yet
274,andreaso_,Hong Kong,2020-01-01,2022-04-16,yet
275,open.holidays,Hong Kong,2020-01-01,2022-04-16,yet
276,top_hongkong_restaurants,Hong Kong,2020-01-01,2022-04-16,yet
277,lukhoo,Hong Kong,2020-01-01,2022-04-16,yet
278,iloveqq,Hong Kong,2020-01-01,2022-04-16,yet
279,ashley_ellabel,Hong Kong,2020-01-01,2022-04-16,yet
280,aliceha,Hong Kong,2020-01-01,2022-04-16,yet
281,chungchung030,Hong Kong,2020-01-01,2022-04-16,yet
282,cheronna,Hong Kong,2020-01-01,2022-04-16,yet
283,kayan.c,Hong Kong,2020-01-01,2022-04-16,yet
284,chloe_so,Hong Kong,2020-01-01,2022-04-16,yet
285,leoku,Hong Kong,2020-01-01,2022-04-16,yet
286,litestyleco,Hong Kong,2020-01-01,2022-04-16,yet
287,fashionindesire,Hong Kong,2020-01-01,2022-04-16,yet
288,dulahoop12,Hong Kong,2020-01-01,2022-04-16,yet
289,bobcyp1005,Hong Kong,2020-01-01,2022-04-16,yet
290,karenalamkayan,Hong Kong,2020-01-01,2022-04-16,yet
291,chufune,Hong Kong,2020-01-01,2022-04-16,yet
292,saxyphil,Hong Kong,2020-01-01,2022-04-16,yet
293,chiangel1110,Hong Kong,2020-01-01,2022-04-16,yet
294,ashinaaa,Hong Kong,2020-01-01,2022-04-16,yet
